"","drug_size","diz_size","sim_mean","sim_sd"
"104",5,3,28607.4122833096,2331848.99832187
"105",5,15,-212714.209548647,5508055.76895505
"106",6,5,24974.7548327105,2868833.6990913
"107",6,18,26060.3703973081,5598654.63681362
"108",6,6,-153705.656125232,3097470.52543652
"109",6,11,83715.3161068722,4852747.27443057
"110",6,4,-98333.3910877704,2701651.50419138
"111",6,8,-201531.663967166,4079897.82913973
"112",6,16,89967.1869196671,4538880.7769818
"113",6,12,-199903.630700209,4950447.11194674
"114",6,28,-376979.736247519,6543247.17497931
"115",6,9,40636.0630591758,4055860.95842367
"116",6,14,-100408.211881836,4708398.30117616
"117",6,13,-63157.0975709474,4653871.8309423
"118",6,10,19254.1112793041,3393013.5700882
"119",6,3,-54260.9912936703,2897416.56620284
"120",6,15,-358423.905867581,5125280.16719393
"121",8,5,-201975.260478619,2989760.20261645
"122",8,18,-36040.1095959383,7636045.6133919
"123",8,6,-122517.568836326,3858418.91006807
"124",8,11,-13164.9062693247,6424503.84126062
"125",8,4,-148417.74995617,2867107.05768192
"126",8,8,-28461.8350991557,4551798.51378963
"127",8,16,-297382.959518141,6547287.08847809
"128",8,12,14118.28359622,6113923.37677442
"129",8,28,-227555.009038964,8536042.94585712
"130",8,9,-41836.5764947435,5064061.74959981
"131",8,14,-252982.22043364,6064330.16152898
"132",8,13,65424.5172522657,5624649.76636736
"133",8,10,-154034.454439688,4857364.91555388
"134",8,3,-17893.1787256487,2140045.06486657
"135",8,15,-98245.6387939182,6796256.94141176
"136",9,5,-9260.43705130624,4058747.85439226
"137",9,18,-140268.865712271,6284619.52077462
"138",9,6,-115302.747626751,4241033.43905612
"139",9,11,-83433.4092176227,5639159.20241049
"140",9,4,-86792.1180750397,3199737.42340007
"141",9,8,-10816.982491019,4165457.7712668
"142",9,16,-545077.90166328,6793432.21271371
"143",9,12,-431719.633842529,6173506.18377608
"144",9,28,-522506.091380497,8286128.39300687
"145",9,9,-98261.7615242919,4320393.915446
"146",9,14,-513356.176914247,5754817.83219813
"147",9,13,-5863.9172832195,6699238.99313518
"148",9,10,-262735.653784598,6023619.48157774
"149",9,3,-14190.8856664683,2141472.87451216
"150",9,15,-294689.719784676,6547022.12228381
"151",11,5,-247110.620645565,4275453.50599892
"152",11,18,-577879.781113066,7923310.90969853
"153",11,6,-186665.219012579,4841324.16166352
"154",11,11,-54435.8074521285,5803543.49166165
"155",11,4,-83202.1191797876,3482184.26901093
"156",11,8,-8791.03218396039,6255725.40995478
"157",11,16,-229714.099221551,7111443.38983536
"158",11,12,-341526.441333139,5365709.72288726
"159",11,28,-476703.362878096,9050300.0029378
"160",11,9,-172694.256572803,6062950.29022007
"161",11,14,-55795.5000473538,7262306.06145395
"162",11,13,-65084.9530867441,5987246.07850899
"163",11,10,-260868.340024157,6049868.75757066
"164",11,3,33514.2701074197,2455903.04034574
"165",11,15,-368425.787912766,7240745.68992912
"166",10,5,-196108.39604293,4214713.79025955
"167",10,18,-9111.52222780863,8490782.85556521
"168",10,6,47986.4597396734,4150341.20397292
"169",10,11,-286503.822519179,6253710.29644843
"170",10,4,-185278.412061201,3643820.06347004
"171",10,8,-459010.00335651,5330248.86290535
"172",10,16,-391938.639992181,7357306.53242136
"173",10,12,-118824.813816764,5556630.91141765
"174",10,28,-96651.787954568,8679664.12103036
"175",10,9,-306172.200654674,5304683.50804401
"176",10,14,-459724.560976927,7758013.17112907
"177",10,13,-70603.8567370609,6130827.87749366
"178",10,10,-250864.404011535,5627508.76046591
"179",10,3,-73178.2201321775,4596669.51186893
"180",10,15,55597.24342312,6966166.98407148
