"","FROM","TO","default_sign_conn_score"
"332","ESR1","H2BC21",3678.4888
"333","ESR1","SFRP1",-37885.9377072
"334","ESR1","DNM1",14298.7127904
"335","ESR1","NPM1",57366.2502
"336","ESR1","PKN1",-17704.876
"337","ESR1","HMGA1",29313.515
"338","ESR1","DUSP1",54940.1316
"339","ESR1","RCAN1",-4540.592
"340","ESR1","ERRFI1",30145.8304
"341","ESR1","NME1",-22971.837
"342","ESR1","DLK1",-5582.110951
"343","ESR1","MMP13",-1184.6492
"344","ESR1","ADM",7841.6091832
"345","ESR1","H1.2",3292.04736
"346","ESR1","CD300LF",3511.5933888
"347","ESR1","FGA",236.92984
"348","ESR1","GDF15",13214.1894467
"349","ESR1","LDLR",9824.9078
"350","ESR1","NSF",-3579.864761088
"351","ESR1","LRIG3",10204.3712522752
"352","ESR1","SLC1A3",24165.540885
"353","ESR1","FKBP5",-3846.8343707878
"354","ESR1","IRF1",-4233.186048
"355","ESR1","KRT17",2864.708
"356","ESR1","SCNN1A",-19654.72284
"357","ESR1","BEST1",-8798.3013888
"358","ESR1","PRDX3",4048.884475776
"359","ESR1","HLTF",1409.2754316399
"360","ESR1","CD79A",5809.178777472
"361","ESR1","FOS",-50232.3685053
"362","ESR1","RAB10",3216.135186432
"363","ESR1","MAPK13",-17277.152256
"364","ESR1","TXNIP",13179.5234634
"365","ESR1","MUC4",20401.1370824
"366","ESR1","DSP",-7703.5940352
"367","ESR1","TP63",11580.856
"368","ESR1","PERP",-37817.5108964
"369","ESR1","KRT15",1745.2226304
"370","ESR1","RAC1",34279.2
"371","ESR1","ITGB1",5614.3386085
"372","ESR1","HSF4",-8649.22084992
"373","ESR1","KAT2A",9471.169
"374","ESR1","HDAC7",3852.4541712
"375","ESR1","ERBB3",29917.7984
"376","ESR1","LRIG1",-23034.6980864
"377","ESR1","CRYAB",-34611.4029702
"378","ESR1","FASN",6272.9
"379","ESR1","CNR1",-13538.21184
"380","ESR1","ACTG2",-6359.7
"381","ESR1","NKX3.1",-21930
"382","ESR1","CTNNB1",46291.1
"383","ESR1","FN1",7993.295646
"384","ESR1","BSG",9926.976587296
"385","ESR1","LORICRIN",-3243.28
"386","ESR1","JUNB",-54170.8831224
"387","ESR1","MUC2",4557.6272
"388","ESR1","ESPL1",25268.124
"389","ESR1","RUNX1",-64000.713
